Time,Latitude,Longitude,Altitude
1715182623,41.1043668317385,29.0206455825461,135.025
1715182623,41.1043668378887,29.0206455830563,135.025
1715182623,41.1043668440235,29.0206455835632,135.025
1715182623,41.1043668501808,29.0206455840739,135.025
1715182623,41.1043668563424,29.0206455845797,135.025
1715182623,41.1043668625016,29.02064558508,135.025
1715182623,41.104366868675,29.0206455855862,135.025
1715182623,41.1043668748361,29.0206455860784,135.025
1715182623,41.1043668809954,29.0206455865678,135.008
1715182623,41.104366887172,29.0206455870594,135.008
1715182623,41.1043667986691,29.020645643842,135.008
1715182623,41.1043668045543,29.0206456444537,135.008
1715182623,41.1043668104402,29.0206456450684,135.008
1715182623,41.1043668163263,29.0206456456822,135.008
1715182623,41.1043668222131,29.0206456462972,135.008
1715182623,41.1043668281012,29.0206456469182,135.008
1715182623,41.104366833996,29.0206456475372,135.008
1715182623,41.1043668398871,29.0206456481539,135.008
1715182623,41.1043668457863,29.0206456487639,135.008
1715182623,41.1043668516713,29.020645649363,135.008
1715182623,41.1043668575647,29.0206456499588,135.008
1715182623,41.1043668634704,29.0206456505553,135.008
1715182623,41.1043668693689,29.0206456511475,135.008
1715182623,41.1043668752567,29.0206456517239,135.008
1715182623,41.1043668811642,29.0206456522987,135.008
1715182623,41.1043668870623,29.020645652863,135.008
1715182623,41.1043668929626,29.0206456534235,135.008
1715182623,41.1043668988676,29.0206456539892,135.008
1715182623,41.1043669047779,29.0206456545565,135.008
1715182623,41.1043669106753,29.0206456551099,135.008
1715182623,41.104366916585,29.0206456556627,135.008
1715182623,41.1043669224845,29.0206456562102,135.008
1715182623,41.1043669283817,29.0206456567511,135.003
1715182623,41.1043669342677,29.0206456572887,135.003
1715182623,41.104366940174,29.0206456578288,135.003
1715182623,41.1043668517933,29.0206456944465,135.003
1715182623,41.1043668574055,29.0206456950566,135.003
1715182623,41.1043668630255,29.0206456956621,135.003
1715182623,41.1043668686319,29.0206456962666,135.003
1715182623,41.1043668742435,29.0206456968819,135.003
1715182623,41.1043668798561,29.0206456974945,135.003
1715182623,41.1043668854698,29.0206456981019,135.003
1715182623,41.1043668910909,29.0206456987073,135.003
1715182623,41.1043668967099,29.0206456993082,135.003
1715182623,41.1043669023322,29.0206456999042,135.003
1715182623,41.1043669079509,29.0206457005005,135.003
